TimeSteps,"Static fine mesh",AMR/LB
417,6.61924,0.132269
418,6.63487,0.132644
419,6.65048,0.133014
420,6.66615,0.133375
421,6.68181,0.133742
422,6.69747,0.134106
423,6.71306,0.134472
424,6.72867,0.134847
425,6.74429,0.135217
426,6.75988,0.135597
427,6.77553,0.135969
428,6.79113,0.136342
429,6.80676,0.136714
430,6.82286,0.137089
431,6.83866,0.137469
432,6.85449,0.137844
433,6.87023,0.138228
434,6.88598,0.138603
435,6.90174,0.138994
436,6.91747,0.139372
437,6.93324,0.13975
438,6.94901,0.140128
439,6.9652,0.140506
440,6.98132,0.140883
441,6.99747,0.141264
442,7.01366,0.141644
443,7.02979,0.142025
444,7.04596,0.142406
445,7.06206,0.142786
446,7.0782,0.143164
447,7.09432,0.143544
448,7.11044,0.143928
449,7.12659,0.144331
450,7.14275,0.144719
451,7.15887,0.145103
452,7.175,0.145486
453,7.19101,0.145869
454,7.20701,0.146256
455,7.22307,0.146633
456,7.24007,0.147014
457,7.2569,0.147383
458,7.27384,0.147758
459,7.29067,0.148122
460,7.30753,0.148489
461,7.32447,0.148853
462,7.34133,0.149206
463,7.3582,0.149556
464,7.37501,0.149897
465,7.39182,0.150236
466,7.40792,0.150569
467,7.42367,0.150897
468,7.43954,0.151228
469,7.45536,0.151558
470,7.47124,0.151886
471,7.48709,0.1522
472,7.50285,0.152511
473,7.51845,0.152819
474,7.534,0.153119
475,7.54956,0.153417
476,7.56522,0.153714
477,7.5808,0.154006
478,7.59644,0.154294
479,7.61319,0.154578
480,7.62986,0.154858
481,7.64542,0.155136
482,7.66102,0.155414
483,7.67695,0.155692
484,7.69293,0.155967
485,7.70887,0.156239
486,7.72483,0.156508
487,7.74042,0.156778
488,7.75606,0.157047
489,7.77166,0.157317
490,7.78724,0.157583
491,7.80281,0.157858
492,7.81846,0.158125
493,7.83399,0.158389
494,7.8495,0.158653
495,7.86501,0.158914
496,7.88062,0.159169
497,7.89644,0.159428
498,7.91229,0.159683
499,7.92843,0.159967
500,7.944,0.160217
501,7.95985,0.160467
502,7.97581,0.160722
503,7.99173,0.160969
504,8.00751,0.161217
505,8.02353,0.161461
506,8.03961,0.161719
507,8.05565,0.161969
508,8.07167,0.162217
509,8.08778,0.162467
510,8.10379,0.162708
511,8.11983,0.162953
512,8.13601,0.163194
513,8.15218,0.163442
514,8.16838,0.163683
515,8.18461,0.163928
516,8.20026,0.164175
517,8.21593,0.164419
518,8.23166,0.164661
519,8.24737,0.164906
520,8.2631,0.16515
521,8.27875,0.165397
522,8.2944,0.165639
523,8.31004,0.165881
524,8.32584,0.166125
525,8.34186,0.166367
526,8.35766,0.166617
527,8.37316,0.166856
528,8.38869,0.167097
529,8.40419,0.167339
530,8.41974,0.167583
531,8.43536,0.167825
532,8.45086,0.168064
533,8.46641,0.168306
534,8.48194,0.168547
535,8.49746,0.168789
536,8.51305,0.169031
537,8.52864,0.169358
538,8.54423,0.169603
539,8.55981,0.169844
540,8.57542,0.170086
541,8.59111,0.170328
542,8.60681,0.170569
543,8.62265,0.170811
544,8.63835,0.171069
545,8.65401,0.171311
546,8.66964,0.171556
547,8.68531,0.171794
548,8.70086,0.172042
549,8.71646,0.1723
550,8.73198,0.172542
551,8.74747,0.172783
552,8.7635,0.173028
553,8.77904,0.173269
554,8.7948,0.173511
555,8.81144,0.173758
556,8.82815,0.174
557,8.84492,0.174244
558,8.86158,0.174494
559,8.87828,0.174736
560,8.89452,0.174981
561,8.91004,0.175222
562,8.92557,0.175464
563,8.9411,0.175708
564,8.95655,0.175953
565,8.97205,0.176206
566,8.98755,0.17645
567,9.00304,0.1767
568,9.01864,0.176944
569,9.03418,0.177186
570,9.04973,0.177428
571,9.06524,0.177672
572,9.0808,0.177919
573,9.09639,0.178161
574,9.11202,0.178406
575,9.12756,0.17865
576,9.14324,0.178897
577,9.15907,0.179144
578,9.17482,0.179389
579,9.19062,0.179633
580,9.20638,0.179883
581,9.22216,0.180128
582,9.23794,0.180378
583,9.25375,0.180622
584,9.26951,0.180867
585,9.28509,0.181111
586,9.30069,0.181358
587,9.3162,0.181603
588,9.33173,0.18185
589,9.34733,0.1821
590,9.36282,0.182347
591,9.37837,0.182594
592,9.3948,0.182847
593,9.41043,0.183097
594,9.42611,0.183347
595,9.44173,0.183594
596,9.4573,0.183842
597,9.47283,0.184092
598,9.48836,0.184339
599,9.50387,0.184608
600,9.51949,0.184861
601,9.53509,0.185111
602,9.55118,0.185361
603,9.56732,0.185611
604,9.58321,0.185872
605,9.59885,0.186178
606,9.6145,0.186431
607,9.63011,0.186683
608,9.64569,0.186936
609,9.66139,0.187186
610,9.67698,0.187442
611,9.69255,0.187697
612,9.70818,0.187947
613,9.72378,0.188206
614,9.73941,0.188461
615,9.75492,0.188722
616,9.77047,0.188981
617,9.78606,0.189236
618,9.80162,0.189489
619,9.81719,0.18975
620,9.83275,0.190008
621,9.84834,0.190269
622,9.86393,0.190528
623,9.87946,0.190789
624,9.89501,0.191047
625,9.91055,0.191303
626,9.92613,0.191561
627,9.94205,0.191819
628,9.95802,0.192075
629,9.97416,0.192333
630,9.99041,0.192592
631,10.0066,0.192856
632,10.0227,0.193114
633,10.0388,0.193372
634,10.055,0.193633
635,10.0709,0.193894
636,10.0865,0.194156
637,10.1022,0.194417
638,10.1178,0.194675
639,10.1334,0.194933
640,10.149,0.195197
641,10.1648,0.195458
642,10.1808,0.195719
643,10.1968,0.195981
644,10.2131,0.196247
645,10.2299,0.196517
646,10.2468,0.196778
647,10.2638,0.197042
648,10.2806,0.197306
649,10.2968,0.197589
650,10.3132,0.197861
651,10.3296,0.198133
652,10.3457,0.198406
653,10.3616,0.198678
654,10.3774,0.198947
655,10.3932,0.199217
656,10.409,0.199494
657,10.425,0.199769
658,10.4409,0.200044
659,10.4567,0.200317
660,10.4725,0.200592
661,10.4883,0.200872
662,10.504,0.201147
663,10.5198,0.201419
664,10.5356,0.201697
665,10.5514,0.201972
666,10.5671,0.202258
667,10.5829,0.202539
668,10.5986,0.202825
669,10.6142,0.203106
670,10.6298,0.203386
671,10.6461,0.203667
672,10.663,0.203953
673,10.68,0.204233
674,10.697,0.204519
675,10.7138,0.204806
676,10.7307,0.205092
677,10.7476,0.205381
678,10.7646,0.205675
679,10.7814,0.205969
680,10.7972,0.206264
681,10.813,0.206556
682,10.8292,0.20685
683,10.8453,0.207142
684,10.8614,0.207436
685,10.8775,0.207736
686,10.8931,0.208031
687,10.9088,0.208328
688,10.9246,0.208628
689,10.9403,0.208925
690,10.9561,0.209225
691,10.9718,0.209533
692,10.9875,0.209833
693,11.0032,0.210139
694,11.0191,0.210444
695,11.0348,0.210756
696,11.0504,0.211064
697,11.066,0.211375
698,11.0819,0.211686
699,11.0979,0.212011
700,11.114,0.212331
701,11.1301,0.212661
702,11.1459,0.212975
703,11.1616,0.2133
704,11.1773,0.213622
705,11.1929,0.213942
706,11.2085,0.214261
707,11.2242,0.214578
708,11.2402,0.214897
709,11.2564,0.215222
710,11.2727,0.215544
711,11.2889,0.215872
712,11.305,0.216194
713,11.321,0.216525
714,11.337,0.216844
715,11.3533,0.217164
716,11.3695,0.217489
717,11.3854,0.217819
718,11.401,0.218144
719,11.4167,0.218469
720,11.4325,0.218794
721,11.4483,0.219119
722,11.464,0.219447
723,11.4798,0.219778
724,11.4966,0.220108
725,11.5135,0.220436
726,11.5303,0.220761
727,11.5471,0.221094
728,11.564,0.221425
729,11.5808,0.221758
730,11.5976,0.2221
731,11.6143,0.222433
732,11.6311,0.222764
733,11.6479,0.223094
734,11.6646,0.223422
735,11.6814,0.223753
736,11.6981,0.224083
737,11.7145,0.224414
738,11.7312,0.22475
739,11.7479,0.225083
740,11.7641,0.225414
741,11.7798,0.225744
742,11.7953,0.226078
743,11.811,0.226411
744,11.8267,0.226742
745,11.8423,0.227072
746,11.858,0.227408
747,11.8736,0.227744
748,11.8893,0.228081
749,11.9049,0.228447
750,11.9206,0.228786
751,11.9366,0.229131
752,11.9528,0.229464
753,11.9686,0.2298
754,11.9844,0.230131
755,12.0002,0.230467
756,12.0161,0.230797
757,12.0319,0.231128
758,12.0477,0.231458
759,12.0635,0.231794
760,12.0796,0.232125
761,12.0956,0.232453
762,12.1119,0.232783
763,12.1283,0.233114
764,12.1448,0.233447
765,12.1612,0.233778
766,12.1777,0.234114
767,12.1941,0.234447
768,12.2106,0.234781
769,12.227,0.235114
770,12.2433,0.235444
771,12.2598,0.235775
772,12.2762,0.236106
773,12.2927,0.236439
774,12.3091,0.236767
775,12.3256,0.2371
776,12.342,0.237436
777,12.3585,0.237767
778,12.375,0.238097
779,12.3916,0.238428
780,12.4081,0.238764
781,12.4247,0.239103
782,12.4413,0.239436
783,12.4579,0.239772
784,12.4744,0.240106
785,12.491,0.240436
786,12.5076,0.240767
787,12.5243,0.241103
788,12.5409,0.241436
789,12.5576,0.241767
790,12.5742,0.242094
791,12.5908,0.242431
792,12.6073,0.242758
793,12.624,0.243089
794,12.6407,0.243417
795,12.6573,0.243747
796,12.6739,0.244075
797,12.6904,0.244403
798,12.7068,0.244731
799,12.7232,0.245092
800,12.7396,0.245428
801,12.7561,0.245775
802,12.7726,0.246108
803,12.7891,0.246442
804,12.8051,0.246778
805,12.8209,0.247108
806,12.8367,0.247442
807,12.8526,0.247775
808,12.8684,0.248108
809,12.8843,0.24845
810,12.9,0.248781
811,12.9157,0.249114
812,12.9314,0.249456
813,12.9479,0.249789
814,12.9647,0.250128
815,12.9817,0.250458
816,12.9981,0.250792
817,13.0139,0.251131
